Item,Availability,ASIN,Price,Brand,Title,LeafCat,FullCat
24,"0,4752373543",B00004Z498,"3,62",Scotch,"3M Scotch Mounting Tape, .5-Inch by 75-Inch (110)",Mounting Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Velcro & Mounting Products/Mounting Tape"
30,"0,5438468862",B00004Z5QO,"8,16",Avery,"Avery Easy Peel Return Address Labels for Inkjet Printers, 0.5 x 1.75 Inches, White, Pack of 2000 (08167)",Printer Labels: Laser & Inkjet,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Printer Labels: Laser & Inkjet"
35,"0,3360807817",B00004Z5SN,"8,22",Avery,"Avery Easy Peel Address Labels for Laser Printers, 1 x 2.625 Inches, White, Pack of 750 (05260)",Address Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Address Labels"
41,"0,5644930463",B00004Z69W,"15,96",Avery,"Avery Easy Peel Address Labels for Inkjet Printers, 1 x 2.625 Inches, Clear, Pack of 750 (08660)",Address Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Address Labels"
45,"0,9089221363",B0000538AC,"4,39",Scotch,"Scotch(R) Gift Wrap Tape, 0.75 x 300 Inches, 3 Pack (311)",Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
71,"0,5181379416",B00006B8G0,"9,2",Avery,"Avery&reg; White Shipping Labels for Laser Printers with  TrueBlock(TM) Technology, 2 inches x 4 inches, Pack of 250 (5263)",Shipping Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Shipping Labels"
72,"0,3899469349",B00006B8GI,"59,99",Avery,Avery Index Maker Clear Label Dividers with 5 White Tabs 25 Count (11446),Binder Index Dividers,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Index Dividers/Binder Index Dividers"
103,"0,7268125432",B00006IBV7,"10,53",Avery,"Avery Two-Side Printable Clean Edge Business Cards for Inkjet Printers, Matte, White, Pack of 200 (08871)",Business Cards,Office Products/Office & School Supplies/Paper/Cards & Card Stock/Business Cards
124,"0,6132159815",B00006ICEM,"3,14",Wilson Jones,"Wilson Jones Insertable Tab Dividers, Multicolor Tabs , 8-Tabs, 1 Set (W54311A)",Binder Index Dividers,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Index Dividers/Binder Index Dividers"
129,"0,4061774205",B00006IDMJ,"4,34",Five Star,"Five Star Spiral Notebook, College Ruled, 1 Subject, 8.5 x 11 Inches, 100 Sheets, Assorted Colors (06206)",Wirebound Notebooks,Office Products/Office & School Supplies/Paper/Notebooks & Writing Pads/Wirebound Notebooks
133,"0,5644930463",B00006IDV6,"3,47",Mead,"Five Star Reinforced Filler Paper, Wide Ruled, 110 ct (15106)",Filler Paper,Office Products/Office & School Supplies/Paper/Filler Paper
186,"0,4545015465",B00006IF5Q,"6,84",3M,3M 1.5&quot; See-Through Book Repair Tape,Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
189,"0,5181379416",B00006IF6J,"8,4",Scotch,"Scotch High Performance Masking Tape 232 Tan, 18 mm x 54.999 m (Pack of 1)",Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
191,"0,438503157",B00006IF70,"16,57",Scotch,"Scotch Filament Tape 893 Clear, 48 mm x 55 m (Pack of 1)",Packing Tape,"Office Products/Office & School Supplies/Envelopes, Mailers & Shipping Supplies/Packing Materials/Packing Tape"
221,"0,3567661956",B00006IFKW,"10,91",Swingline,"Swingline Standard Stapler Value Pack, Includes Stapler, 5000 Count Staples and Staple Remover, Black (S70754551H)",Desktop Staplers,Office Products/Office & School Supplies/Staplers & Punches/Manual Staplers/Desktop Staplers
256,"0,6714439711",B00007L6BZ,"3,72",Scotch,"Scotch Super Strength Packaging Tape, 1.88 Inch x 38.2 Yards (3850S-RD)",Packing Tape,"Office Products/Office & School Supplies/Envelopes, Mailers & Shipping Supplies/Packing Materials/Packing Tape"
257,"0,7714083718",B00007L6C2,"11,18",3M,"Scotch Tear-by-Hand Tape, 1.88 Inches x 50 Yards, 2-Pack (3842-2)",Packing Tape,"Office Products/Office & School Supplies/Envelopes, Mailers & Shipping Supplies/Packing Materials/Packing Tape"
281,"0,5320220234",B000093L25,"5,09",ACCO Brands,"ACCO Rubber Band Ball, 275 Bands Per Ball, Assorted Colors, 1/Box (72155)",Rubber Bands,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Rubber Bands"
298,"0,5320220234",B0000AQNWI,"11,84",,"Wilson Jones 362 Line Basic Round Ring View Binder 3 Inch Capacity, 8.5 x 11 Inch Sheet Size, Dark Blue (W362-49BL)",Round Ring Binders,Office Products/Office & School Supplies/Binders & Binding Systems/Binders/Round Ring Binders
305,"0,5320220234",B0000AQONK,"9,71",Mead,MeadCambridge Limited Action Planner Business Notebook (06064),Wirebound Notebooks,Office Products/Office & School Supplies/Paper/Notebooks & Writing Pads/Wirebound Notebooks
327,"0,4061774205",B00015YRCG,"12,86",Wilson Jones,"Wilson Jones Heavy Weight Top-Loading Sheet Protectors, Clear, 100/Box (W21411)","Sheet Protectors, Card & Photo Sleeves","Office Products/Office & School Supplies/Binders & Binding Systems/Binder Accessories/Sheet Protectors, Card & Photo Sleeves"
417,"0,4924348",B0006OF5MI,"14,33",Wilson Jones,"Wilson Jones Favorite Desk File/Sorter, A-Z Index, 10 x 12 Inches, Burgundy (WCC3C)",File Sorters,Office Products/Office & School Supplies/Filing Products/File Sorters
419,"0,8288624778",B0006SV7Q2,"5,15",Avery,"Avery Durable View Binder with 1-Inch Slant Ring, Holds 8.5 x 11 Inches Paper, White, 1 Binder (17012)",View Binders,Office Products/Office & School Supplies/Binders & Binding Systems/Binders/View Binders
423,"0,860813067",B0006VQBTW,"5,58",ACCO Brands,"Quartet ReWritables Mini Dry-Erase Markers, Magnetic, Assorted Classic Colors, 6 Pack (51-659312Q)",Erasable Markers,Office Products/Office & School Supplies/Writing & Correction Supplies/Markers & Highlighters/Erasable Markers
435,"0,5922578664",B0007L1VO6,"7,16",BIC,"BIC Mark-It Color Collection Permanent Markers, Fine Point, Assorted, 12 Markers",Permanent Markers,Office Products/Office & School Supplies/Writing & Correction Supplies/Markers & Highlighters/Permanent Markers
454,"0,9280606756",B0009F3P3U,"4,86",Scotch,"Scotch Magic Tape , 3/4 x 300 Inches, 3 Pack  (3105)",Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
482,"0,8500418235",B000ANLD1M,"10,67",Avery,"Avery Shipping Labels with TrueBlock Technology, Inkjet Printers, 5.5 x 8.5 Inches, White, Pack of 50 (8126)",Shipping Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Shipping Labels"
517,"0,8500418235",B000E7D72C,"0,01",Quartet,"Quartet 5001M EnduraGlide Chisel Tip Dry Erase Marker - 4 Pack, Assorted Colors",Erasable Markers,Office Products/Office & School Supplies/Writing & Correction Supplies/Markers & Highlighters/Erasable Markers
540,"0,6978870231",B000FH1J6C,"9,99",Avery,Avery Nonstick Heavy-Duty EZD Reference View 2 Inch White Binder (79192),View Binders,Office Products/Office & School Supplies/Binders & Binding Systems/Binders/View Binders
603,"0,8030567132",B000I0VMMC,"7,74",Sharpie,"Sharpie Accent Retractable Highlighters, Assorted, Fine Point, 8/Pack",Highlighters,Office Products/Office & School Supplies/Writing & Correction Supplies/Markers & Highlighters/Highlighters
619,"0,3446967721",B000J05GKA,"41,63",Paper Pro,PaperPro 1210 Professional 65 Sheet Stapler,Heavy-Duty Staplers,Office Products/Office & School Supplies/Staplers & Punches/Manual Staplers/Heavy-Duty Staplers
620,"0,8253791357",B000J07BRQ,"17,42",Scotch,"Scotch Heavy Duty Packaging Tape, 1.88 Inches x 800 Inches, 6 Rolls (142-6)",Packing Tape,"Office Products/Office & School Supplies/Envelopes, Mailers & Shipping Supplies/Packing Materials/Packing Tape"
670,"0,9815597886",B000MFHX3U,"7,67",3M,"3M Whiteboard Eraser for Whiteboards, 2-Pack",Dry Erase Boards,Office Products/Office & School Supplies/Presentation Boards/Dry Erase Boards
756,"0,8772003502",B000TS9ITM,"18,3",Smead,"Smead Hanging FasTab Folder, Legal, 1/3 Cut Tab, Moss, 20 per Box (64083)",Hanging Folders & Interior Folders,Office Products/Office & School Supplies/Filing Products/Folders/Hanging Folders & Interior Folders
779,"0,5181379416",B000V9A0Q4,"5,22",,"Quartet Magnetic Push Pins, High Power Magnets, Bright Colors, 10 Pack (MPPCB)",Pins & Tacks,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Pins & Tacks"
795,"0,9574489927",B000WU4H5C,"19,11",3M,"3M Gel Wrist Rest for Keyboard with Leathette Cover and Antimicrobial Product Protection, 19 in x 2.8 in, Black",Wrist Rests,Office Products/Office & School Supplies/Desk Accessories & Workspace Organizers/Mouse Pads & Wrist Rests/Wrist Rests
806,"0,9397171379",B000XSPEPA,"3,75",Scotch,"Scotch PopUp Tape Handband Dispenser, 0.75 x 2 Inches, 75 Strips per Pad, 1 Pad per Pack (Colors May Vary) (96-G)",Office Tape Dispensers,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape Dispensers/Office Tape Dispensers"
817,"0,7845945245",B000ZHB2HS,"14,77",3M,"3M Precise Mouse Pad, Leatherette Gel Wrist Rest, Antimicrobial Protection, Battery Saving, 9.25 in x 8.75 in, Black",Wrist Rests,Office Products/Office & School Supplies/Desk Accessories & Workspace Organizers/Mouse Pads & Wrist Rests/Wrist Rests
825,1,B0010T3QT2,"7,9",Quality Park,"Quality Park Reveal-N-Seal Envelope, #10, 4-1/8 x 9.5 Inches, White, 40 Envelopes (67012)",Envelopes,"Office Products/Office & School Supplies/Envelopes, Mailers & Shipping Supplies/Envelopes"
829,"0,3899469349",B0010XUO52,"3,6",Mead,"Mead 3 x 5-Inch Index Cards, Ruled, 100 Count, White (63350)",Index Cards,Office Products/Office & School Supplies/Paper/Cards & Card Stock/Index Cards
837,"0,7145044111",B0011EK90K,"4,17",Scotch,"3M  Display Pocket, Removable Fasteners, 8.5 X 11 Inches, Clear Plastic (MMMWL854C)",Laminating Supplies,Office Products/Office Electronics/Presentation Products/Laminating Supplies
862,"0,6557317149",B0013C7K1Q,,,"3M Mouse Pad with Gel Wrist Rest, Sunrise Design (MW308SR)",Wrist Rests,Office Products/Office & School Supplies/Desk Accessories & Workspace Organizers/Mouse Pads & Wrist Rests/Wrist Rests
863,"0,438503157",B0013C7V24,2,Scotch,"Scotch&reg; Laminating Sheets LS854SS-10, 9 Inches x 12 Inches, Letter Size, Single Sided",Laminating Supplies,Office Products/Office Electronics/Presentation Products/Laminating Supplies
952,"0,4752373543",B001A1PKEY,"11,8",Wilson Jones,"Wilson Jones Big Mouth Filer, Vertical Orientation, Dark Blue (W68583)",Expanding File Jackets & Pockets,Office Products/Office & School Supplies/Filing Products/File & Folder Accessories/File Jackets & File Pockets/Expanding File Jackets & Pockets
995,"0,8201788222",B001BM2M8Y,"8,6",Scotch,"Scotch Easy-Grip Tape Dispenser, 1.88 Inches x 600 Inches ( DP-1000)",Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
1004,"0,5922578664",B001CE3AQY,"15,47",Swingline,"Swingline LightTouch Reduced Effort Stapler, 50% Easier, 20 Sheets, Black (S7066402)",Desktop Staplers,Office Products/Office & School Supplies/Staplers & Punches/Manual Staplers/Desktop Staplers
1032,"0,6445133104",B001DPSUUI,23,Fellowes,"Fellowes Hot Laminating Pouches, Letter, 5 mil, 100 Pack (52040)",Laminating Supplies,Office Products/Office Electronics/Presentation Products/Laminating Supplies
1041,"0,3899469349",B001E6BWVK,"7,49",Mead,Mead Cambridge Limited QuickNotes Business Notebook  (6066),Wirebound Notebooks,Office Products/Office & School Supplies/Paper/Notebooks & Writing Pads/Wirebound Notebooks
1079,"0,8662446176",B001HA0N2M,"0,99",Quartet,"Quartet EnduraGlide Fine Tip Dry-Erase Markers, Assorted Colors, 4 Pack (5001-10M)",Erasable Markers,Office Products/Office & School Supplies/Writing & Correction Supplies/Markers & Highlighters/Erasable Markers
1118,"0,5644930463",B001OHWSBM,"29,33",Avery,"Avery White Repositionable Address Labels for Laser Printers, 1 x 2.625 Inches, Box of 3000 (55160)",Address Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Address Labels"
1136,"0,3751565839",B001PMHURI,"12,13",Avery,"Avery White Repositionable Shipping Labels for Inkjet Printers, 2 x 4 Inches, Box of 250 (58163)",Address Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Address Labels"
1148,"0,9242042063",B001PV36V8,"3,92",Post-It,"Post-it Tabs, 2-Inch Lined, 4 Assorted Bright Colors, 6-Tabs/Color, 24-Tabs/Pack",Tape Flags,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Tape Flags"
1203,"0,9127211784",B0026ICM1E,"5,24",Uni-ball,uni-ball KuruToga Mechanical Pencil Starter Set (1751934),Mechanical Pencils,Office Products/Office & School Supplies/Writing & Correction Supplies/Pencils/Mechanical Pencils
1217,"0,9917662052",B0027CTFBO,"21,79",Fellowes,"Bankers Box SmoothMove Moving and Storage Boxes, Small, 10 Pack (0062701)",Box Mailers,"Office Products/Office & School Supplies/Envelopes, Mailers & Shipping Supplies/Mailers/Box Mailers"
1224,"0,4924348",B00290FKOU,"8,49",Mead,"Mead RediSpace Transitional NoteBook Paper, Stage 4, 10.5 x 8 Inches, 50 Count (48018)",Letter & Legal Ruled Pads,Office Products/Office & School Supplies/Paper/Notebooks & Writing Pads/Letter & Legal Ruled Pads
1240,"0,6013463792",B002CRKUZO,"3,26",Post-It,"Post-it Durable IndexTabs, 1 Inch, Ideal For Binders and File Folders, Assorted Bright Colors, 36 per Dispenser (686-RYBT)",Tab Inserts,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Index Tabs & Tab Inserts/Tab Inserts"
1241,"0,5794886791",B002E3AI0I,"63,1",Kensington,Kensington Wireless Presenter with Laser Pointer and 2 GB Built-in Memory (Black),Presentation Remotes,Office Products/Office Electronics/Presentation Products/Presentation Pointers/Presentation Remotes
1243,"0,9358170931",B002ECFIDG,"7,85",Avery,"Avery Removable Label Pad, 1 x 3 Inches, Assorted, Neon, 120 Labels (22010)",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1244,"0,7648903844",B002ECFILI,"4,88",Avery,"Avery To/From Shipping Label Pad, 40 Labels (45280)",Shipping Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Shipping Labels"
1245,"0,7714083718",B002ECFIMC,"3,95",Avery,"Avery Assorted File Folder Label Pad, 1/3 Cut, 160 Labels (45215)",File Folder Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/File Folder Labels"
1266,"0,3360807817",B002HI9RKM,"13,47",Pendaflex,"Sure Hook Hanging File Folder, Assorted ( Blue, Red, Yellow, Bright Green, Orange), Letter, 20 Folders Per Box, 6152 1/5 Asst",Hanging Folders & Interior Folders,Office Products/Office & School Supplies/Filing Products/Folders/Hanging Folders & Interior Folders
1280,"0,7488117171",B002JG0DMS,"8,52",Avery,"Avery Internet Shipping Labels, Ink Jet and Laser, Brown Kraft, 50 Labels (5783)",Shipping Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Shipping Labels"
1292,"0,9734628263",B002K9GOPE,35,3M,"3M Permanent Adhesive Address Labels, 1 x 2.62 Inches, White, 3000 per Pack (3100-B)",Address Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Address Labels"
1294,"0,9674296083",B002K9IHJK,"4,99",,"Post-it&reg; Super Sticky Removable Label Pads, Assorted Neon Colors and Sizes, 16 Pads, 400 Labels per Pack (2900-M16)",Mouse Pads,Office Products/Office & School Supplies/Desk Accessories & Workspace Organizers/Mouse Pads & Wrist Rests/Mouse Pads
1295,"0,5794886791",B002K9KEKK,,,"Post-It Super Sticky Removable Color Coding Labels, 2 x 4 Inches, Assorted Neon, 150 per Pack (2700-W)",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1296,"0,9815597886",B002K9M6OW,,,"Post-it Super Sticky Removable Color Coding Labels, 1 Inch x 2 5/8-Inch, Assorted Neon, Laser, 450 Labels per Pack (2700-P)",Store Signs,Office Products/Office & School Supplies/Store Signs & Displays/Store Signs
1297,"0,9455946368",B002K9M7MS,,,"3M Permanent Adhesive Shipping Labels, 2 x 4 Inches, White, 2500 per Pack (3100-U)",Shipping Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Shipping Labels"
1298,"0,7979831906",B002K9M8RC,"9,99",,"3M Permanent Adhesive File Folder Labels, 0.66 x 3.437 Inches, White, 1500 per Pack (3300-F)",File Folder Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/File Folder Labels"
1299,"0,9574489927",B002K9PIKG,,,"3M Permanent Adhesive Return Address Labels, 1/2&quot; X 1 3/4&quot;  Inches White, Laser, 2000 labels per pack (3100-Q)",Address Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Address Labels"
1300,"0,9515052",B002K9XU0Q,,,"Post-it&reg; Super Sticky Removable File Folder Labels, 0.66 x 3.437 Inches, White, 1500 per Pack (2100-F)",File Folder Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/File Folder Labels"
1317,"0,901366717",B002M7VZXA,"15,16",,"Avery NoteTabs, 2 x 1.5 Inches, Neon Blue and Magenta, 40 per pack (16293)",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1319,"0,6557317149",B002M7W19C,"0,25",Avery,"Avery PocketTabs, 5.125 x 6 Inches, CD Size, Lime and Blue, 5 per pack (16362)",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1322,"0,3567661956",B002M7XQ2S,"32,97",Westcott,"Westcott Soft Handle Kids Scissors with Anti-microbial Protection, Assorted Colors, 5-Inch Blunt, 12 Pack (14873)",Students Scissors,Office Products/Office & School Supplies/Education & Crafts/Students Scissors
1323,"0,8662446176",B002M7XXAI,"0,69",,"Avery NoteTabs, 3 x 1.5 Inches, Neon Blue and Magenta, 16 per pack (16299)",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1324,"0,8772003502",B002M7XXZ8,"12,49",Avery,"Avery NoteTabs, 3 x 3.5 Inches, Pastel Blue, 20 per pack (16330)",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1326,"0,8393920334",B002M8177I,"0,01",Avery,"Avery&reg; NoteTabs(TM) 3 inch x 7.5 inch, Perforated, Cool Blue and Green, 6 per pack",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1327,"0,4230133906",B002M835C8,"3,27",Avery,"Avery PocketTabs, 5.125 x 8.315 Inches, Half-Page Size, Pastel Blue, 5 per pack (16365)",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1328,"0,7069074125",B002M835HI,"12,5",Avery,"Avery Shipping Label with Paper Receipt, Laser, TrueBlock Technology, White, 25 Sheets  (5327)",Shipping Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Shipping Labels"
1330,"0,5045808124",B002M838PC,"15,5",Wilson Jones,"Wilson Jones Pink 7 Pocket Filer, Durable Poly, Buckle Closure, Carrying Handle (W61012)",Expanding File Jackets & Pockets,Office Products/Office & School Supplies/Filing Products/File & Folder Accessories/File Jackets & File Pockets/Expanding File Jackets & Pockets
1342,"0,8976102452",B002NU5ND4,"0,64",Avery,"Avery NoteTabs Round Edge, 2 x 1.5 Inches, Citrus, 20 per pack (16306)",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1362,"0,6132159815",B002R5AENE,"9,76",Paper Mate,"Paper Mate Medium Point Retractable Gel Pens, 8 Colored Ink Pens (1746323)",Rollerball Pens,Office Products/Office & School Supplies/Writing & Correction Supplies/Pens & Refills/Rollerball Pens
1365,"0,3567661956",B002R5ARLI,"3,99",Mead,"Number Stories WorkBook, Stage Two, 10 x 8 Inches, 40 Count (48022)",Letter & Legal Ruled Pads,Office Products/Office & School Supplies/Paper/Notebooks & Writing Pads/Letter & Legal Ruled Pads
1366,"0,3899469349",B002R5ARNG,"9,97",Mead,"Mead Early Learning Idea builders, Stage Three, 10 x 8 Inches, 48 Sheets",Letter & Legal Ruled Pads,Office Products/Office & School Supplies/Paper/Notebooks & Writing Pads/Letter & Legal Ruled Pads
1377,"0,7488117171",B002V3SSBW,"5,14",Smead,"Smead Easy Slide Tab, 1/3-Cut, Clear, 18 Per Pack (64626)",Index Tabs,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Index Tabs & Tab Inserts/Index Tabs"
1379,"0,6375898262",B002VUCCNU,"8,41",Avery,"Avery Inkjet Shipping Labels with Paper Receipts, 5.5 x 8.5 Inch, White, Pack of 25 Labels with 25 Receipts (8127)",Shipping Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Shipping Labels"
1387,"0,6860210042",B002XYO84U,"6,5",Post-It,"Post-it Greener Notes, 3 x 3-Inches, Sunwashed Pier Collection, 6-Pads/Pack",Self-Stick Notes,Office Products/Office & School Supplies/Paper/Notebooks & Writing Pads/Self-Stick Notes
1389,"0,4924348",B003081QWA,"7,18",Wilson Jones,"Wilson Jones View-Tab Transparent Dividers, Extra Wide, 5-Tab Set, Multicolor Square Tabs (W55069)",Binder Index Dividers,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Index Dividers/Binder Index Dividers"
1410,"0,5922578664",B0033UU1J4,"24,79",Acme United,"Westcott iPoint Evolution Electric Pencil Sharpener, White and Silver",Pencil Sharpeners,Office Products/Office & School Supplies/Writing & Correction Supplies/Pencil Sharpeners
1412,"0,3899469349",B00347A85S,"24,95",,"BIC Dry Erase Marker Kit 5 markers, whiteboard cleaner and whiteboard Eraser Assorted",Erasable Markers,Office Products/Office & School Supplies/Writing & Correction Supplies/Markers & Highlighters/Erasable Markers
1420,"0,9455946368",B0035FX5MC,"5,49",Post-It,"Post-it Pop-up Notes Dispenser for 3 x 3-Inch Notes, Wall or Desk Mountable",Self-Stick Note Pad Holders,Office Products/Office & School Supplies/Desk Accessories & Workspace Organizers/Desk Supplies Holders & Dispensers/Self-Stick Note Pad Holders
1451,"0,9876722328",B0039N3QFQ,"3,99",Scotch,"Scotch(R) Pop-Up Tape Refillable Deskgrip Dispenser, 0.75 x 2 Inches (98-G)",Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
1453,"0,9734628263",B0039N3QO2,"3,9",Scotch,"Scotch Restickable Tabs, 1 x 1 Inches, 18 Squares (R100)",Mounting Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Velcro & Mounting Products/Mounting Tape"
1454,"0,6714439711",B0039N7EI6,3,Scotch,"Scotch Tape with New Designer Dispenser, Assorted Colors, 0.75 x 300 inches (106)",Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
1455,"0,995875444",B0039N7ELS,"6,19",Unknown,"Scotch Adhesive Dot Roller, 0.31 x 49 Feet (6055)",Mounting Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Velcro & Mounting Products/Mounting Tape"
1456,"0,6860210042",B0039N7EOA,"3,85",Scotch,"Scotch Restickable Strips, 1  x 3 Inches, 6 Strips (R101)",Mounting Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Velcro & Mounting Products/Mounting Tape"
1461,"0,7145044111",B003BHFCS4,6,,"Post-it Super Sticky Removeable Label Roll, 1 x 700 Inches, Green (2600-G)",Removable Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Removable Labels"
1462,"0,7268125432",B003BHLMMY,3,Post-It,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",Mouse Pads,Office Products/Office & School Supplies/Desk Accessories & Workspace Organizers/Mouse Pads & Wrist Rests/Mouse Pads
1481,"0,4230133906",B003FGWCPM,"6,5",BIC,"BIC Great Erase Grip &quot;Pocket&quot; Dry Erase Marker, Fine Point, Assorted, 6 Dry Erase Markers (GDEP61-Ast)",Erasable Markers,Office Products/Office & School Supplies/Writing & Correction Supplies/Markers & Highlighters/Erasable Markers
1482,"0,9634261808",B003FHBPRM,"5,89",Post-It,"Post-it Pop-up Notes Laptop Dispenser for 3 x 3-Inch Notes, Bright Pink, Green, and Gray, 3-Dispensers/Pack",Self-Stick Note Pad Holders,Office Products/Office & School Supplies/Desk Accessories & Workspace Organizers/Desk Supplies Holders & Dispensers/Self-Stick Note Pad Holders
